Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00018458829273365108,1762667,54.22794869799109
elem[0],1927,0.05928360668295761,1762661,54.22776410969836
code[1078],10000,0.30764715455608516,472404,14.533374640091285
code[463],28912,0.8894694532525534,381292,11.730339885499882
code[202],1966,0.06048343058572634,314312,9.669719244283224
code[2173],10468,0.3220450413893099,312188,9.604374988655511
code[1174],8082,0.24864043031222802,273163,8.403781968000388
code[3550],16430,0.5054642749356479,262223,8.067215980916032
code[226],25631,0.7885304218427018,247925,7.627342079331741
data[0],232770,7.1611028166019945,232770,7.1611028166019945
code[230],56455,1.7368220110463788,199426,6.135284144450184
code[2182],8111,0.24953260706044067,132035,4.0620192051812705
code[2211],11307,0.3478566376565655,121650,3.742527635174776
code[3116],952,0.029288009113739306,111268,3.4231283593146484
code[4107],12537,0.38569723766696395,110783,3.408207472318678
code[3117],11087,0.34108840025633164,110316,3.393840350200909
"export ""canister_query canic_metrics""",32,0.0009844708945794724,98417,3.0277710009946235
code[5502],9,0.0002768824391004766,98385,3.026786530100044
code[1251],4218,0.1297655697917567,98376,3.0265096476609434
code[4155],18076,0.5561029965755795,80733,2.4837277728776423
code[7],5750,0.17689711386974896,77783,2.392971862283597
code[1252],22164,0.6818691533581072,74988,2.3069844825851713
code[1113],19562,0.6018193637426138,74146,2.281080592171549
code[2538],10958,0.3371197519625581,72599,2.2334875773617227
code[100],3131,0.09632432409151026,70578,2.171312087425938
code[3123],11453,0.35234828611308433,66455,2.0444691656024636
code[216],6185,0.19027976509293867,57278,1.7621413718663443
code[2573],13212,0.40646342059949975,48048,1.478183048211078
code[2187],8137,0.2503324896622865,46657,1.4353893290123265
code[2732],1541,0.04740842651709272,43723,1.345125653865571
code[2734],8556,0.2632229054381865,42038,1.2932871083228707
code[1235],994,0.030580127162874865,39422,1.2128066126909989
code[3268],10928,0.33619681049888983,38428,1.1822264855281241
code[3683],563,0.017320534801507595,37555,1.1553688889353777
code[2185],7904,0.2431643109611297,37461,1.1524770056825506
code[3686],10468,0.3220450413893099,36992,1.1380483541338702
code[2186],7883,0.24251825193656193,36912,1.1355871768974215
code[2277],10166,0.31275409732171616,36210,1.1139903466475845
code[937],1034,0.03181071578109921,34907,1.0739039224089264
code[940],33873,1.0420932066278272,33873,1.0420932066278272
