Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.0001943193333810495,1615295,52.31384126895706
elem[0],1887,0.061113430348340075,1615289,52.31364694962368
code[992],9967,0.3227967993014868,475142,15.38821278355644
code[458],28912,0.9363600944521506,384063,12.438477689387671
code[197],1966,0.06367196823785723,314312,10.179483052277407
code[2029],10468,0.3390224636388044,312188,10.110694008260515
code[1028],8210,0.26589362117640275,273211,8.848363232061654
code[3380],16430,0.5321111079084406,262143,8.489908835084744
code[221],25631,0.8300998056482801,250675,8.118499815882432
data[0],230282,7.458040788275808,230282,7.458040788275808
code[225],56447,1.8281239018933506,199418,6.458462137363689
code[2038],8111,0.26268735217561545,132035,4.2761588638278125
code[2067],11307,0.3661947837565878,121650,3.9398244843007793
code[2972],952,0.03083200089645986,111268,3.6035872644404368
code[3939],12537,0.406030247099703,110703,3.5852888605470543
code[2973],11087,0.359069741532616,110316,3.5727552635439768
"export ""canister_query canic_metrics""",32,0.0010363697780322641,98447,3.188359235560697
code[5218],9,0.0002914790000715743,98415,3.187322865782665
code[1107],4216,0.1365417182557508,98406,3.1870313867825932
code[3987],18076,0.5854193783659752,80733,2.614663790308712
code[2],5750,0.18622269449017245,77783,2.5191234513963625
code[1108],22164,0.717815617509597,75020,2.4296393983743894
code[2395],10958,0.35489187586492343,72599,2.3512315473551357
code[95],3131,0.10140230546934435,70578,2.2857783185612854
code[2979],11453,0.37092322086886004,66455,2.152248549972941
code[211],6185,0.20031084616029854,57278,1.855037129566626
code[2430],13212,0.42789117210507105,48048,1.5561092217154446
code[2043],8137,0.26352940262026664,46657,1.5110595229266046
code[2589],1541,0.04990768212336622,43723,1.4160373689032713
code[2591],8556,0.27709936940137664,42038,1.36146602277876
code[1091],994,0.0321922362301272,39422,1.2767427934246223
code[3124],10928,0.3539202791980182,38428,1.2445505571944953
code[3512],563,0.018233630782255147,37555,1.2162770941875525
code[2041],7904,0.25598333517396926,37461,1.2132327579645827
code[3515],10468,0.3390224636388044,36992,1.1980434634052972
code[2042],7883,0.2553032175071356,36912,1.1954525389602166
code[2133],10166,0.3292417238586249,36210,1.172717176954634
code[905],1034,0.03348769845266754,34907,1.1305174950553827
code[908],33873,1.0970297966027152,33873,1.0970297966027152
code[2040],8074,0.2614890496197656,33145,1.073452384152481
